127	2025-05-20 18:36:15	102	1	127	I	0
309	2025-05-20 19:00:12	102	1	309	I	0
484	2025-05-21 00:01:43	102	1	484	I	0
181	2025-05-21 00:01:46	102	1	181	I	0
246	2025-05-21 00:01:53	102	1	246	I	0
198	2025-05-21 08:10:25	102	1	198	I	0
505	2025-05-21 08:11:53	102	1	505	I	0
181	2025-05-21 08:12:43	102	1	181	I	0
484	2025-05-21 08:19:40	102	1	484	I	0
158	2025-05-21 08:24:45	102	1	158	I	0
309	2025-05-21 08:24:50	102	1	309	I	0
393	2025-05-21 08:29:53	102	1	393	I	0
127	2025-05-21 08:30:49	102	1	127	I	0
360	2025-05-21 08:31:20	102	1	360	I	0
88	2025-05-21 08:59:35	102	1	88	I	0
198	2025-05-21 15:58:20	102	1	198	I	0
127	2025-05-21 16:27:26	102	1	127	I	0
484	2025-05-21 17:40:32	102	1	484	I	0
360	2025-05-21 18:31:45	102	1	360	I	0
158	2025-05-21 19:00:42	102	1	158	I	0
393	2025-05-21 22:38:01	102	1	393	I	0
181	2025-05-21 22:45:10	102	1	181	I	0
88	2025-05-22 00:00:08	102	1	88	I	0
309	2025-05-22 00:03:29	102	1	309	I	0
505	2025-05-22 00:03:39	102	1	505	I	0
505	2025-05-22 07:50:18	102	1	505	I	0
198	2025-05-22 08:15:17	102	1	198	I	0
360	2025-05-22 08:23:54	102	1	360	I	0
484	2025-05-22 08:25:31	102	1	484	I	0
88	2025-05-22 08:25:51	102	1	88	I	0
309	2025-05-22 08:25:58	102	1	309	I	0
127	2025-05-22 08:26:59	102	1	127	I	0
181	2025-05-22 08:27:03	102	1	181	I	0
393	2025-05-22 08:28:26	102	1	393	I	0
396	2025-05-22 08:32:06	102	1	396	I	0
181	2025-05-22 17:37:55	102	1	181	I	0
393	2025-05-22 17:41:14	102	1	393	I	0
484	2025-05-22 18:02:36	102	1	484	I	0
246	2025-05-22 18:02:42	102	1	246	I	0
198	2025-05-22 18:40:42	102	1	198	I	0
505	2025-05-22 20:00:07	102	1	505	I	0
360	2025-05-22 20:00:15	102	1	360	I	0
127	2025-05-23 00:01:14	102	1	127	I	0
396	2025-05-23 00:01:24	102	1	396	I	0
198	2025-05-23 08:09:39	102	1	198	I	0
246	2025-05-23 08:13:33	102	1	246	I	0
158	2025-05-23 08:14:14	102	1	158	I	0
181	2025-05-23 08:21:14	102	1	181	I	0
396	2025-05-23 08:23:00	102	1	396	I	0
484	2025-05-23 08:24:30	102	1	484	I	0
505	2025-05-23 08:26:34	102	1	505	I	0
360	2025-05-23 08:29:16	102	1	360	I	0
127	2025-05-23 08:32:29	102	1	127	I	0
484	2025-05-23 16:15:30	102	1	484	I	0
360	2025-05-23 17:32:16	102	1	360	I	0
158	2025-05-03 20:35:01	102	1	158	I	0
127	2025-05-03 20:47:27	102	1	127	I	0
246	2025-05-03 23:02:38	102	1	246	I	0
396	2025-05-04 06:24:55	102	1	396	I	0
372	2025-05-04 06:25:26	102	1	372	I	0
505	2025-05-04 06:26:27	102	1	505	I	0
181	2025-05-04 06:28:36	102	1	181	I	0
88	2025-05-04 06:31:01	102	1	88	I	0
393	2025-05-04 06:32:32	102	1	393	I	0
